"","gID","Year","latitude","longitude","Reference","land_cover","Cmic","tmean","prec","clay","nitrogen","phh2o","sand","soc","ndvi","elev","tmean_c"
"451","13591",NA,5.25,-53,"Nicolas Fanin & Stephan Hättenschwiler & Nathalie Fromin, 2014,Litter fingerprint on microbial biomass, activity, and community structure in the underlying soil,Plant Soil,379,79–91","FT",27.5833333333333,2995.31995563555,3311.87456148766,340.697354514035,430.1925434197,45.2483853938642,303.83295131762,658.410456772982,0.277233700257365,43.363477255336,26.3819955635548
"452","13520",2012,24.8166666666667,107.9,"Ning Hu, Hui Li, Zheng Tang, Zhongfang Li, Guichun Li, Yong Jiang, Xiaomin Hu, Yilai Lou，2016,Community size, activity and C:N stoichiometry of soil microorganisms following reforestation in a Karst region,European Journal of Soil Biology,73,77-83.","C",19.1666666666667,2928.26282977322,915.849893690007,288.460257964745,278.047671401518,58.4474981786748,220.164804866699,328.776642091483,0.123881919698946,342.870962937616,19.6762829773218
"453","13920",2008,-32.244,115.814,"Noraini M. JAAFAR, Peta L. CLODE and Lynette K. ABBOTT, 2015,Soil Microbial Responses to Biochars Varying in Particle Size, Surface and Pore Properties,Pedosphere, 25(5), 770–780","C",11.6425,2914.78706854585,915.351457374248,199.128852912616,286.627735735468,61.4498056419353,700.89753313084,869.162380900006,0.311040311641874,15.4698795603645,18.3287068545852
"454","13918",2008,-32.244,115.814,"Noraini M. JAAFAR, Peta L. CLODE and Lynette K. ABBOTT, 2015,Soil Microbial Responses to Biochars Varying in Particle Size, Surface and Pore Properties,Pedosphere, 25(5), 770–780","FB",12.545,2914.53500873005,927.110198079732,166.97701736045,231.408503396863,62.0171232680314,750.887243665903,688.063105222887,0.314369519880997,18.4125736550638,18.3035008730047
"455","11984",1997,-20.18,146.72,"Northup, B.K., Brown, J.R., Holt, J.A., 1999, Grazing impacts on the spatial distribution of soil microbial biomass around tussock grasses in a tropical grassland, Applied Soil Ecology, 13, 259-270.","G",16.6,2965.6729954159,710.490180245121,222.744048840898,63.9414317114797,68.5423826833002,643.878667691871,122.946656050902,0.209332570370905,225.849479278241,23.4172995415904
"456","11048",1995,51.91,-8.05,"Nunan, N., Morgan, M.A., Herlihy, M., 1998, Ultraviolet absorbance (280nm) of compounds released from soil during chloroform fumigation as an estimate of the microbial biomass, Soil Biology and Biochemistry, 30(12), 1599-1603.","C",11.8333333333333,2846.83301857006,1042.68597924332,198.917088589949,402.252713403274,59.1274044151057,444.262161927366,528.535349196737,0.170439359701737,32.0691920229513,11.5333018570057
"457","12116",1995,52.3342,-6.4575,"Nunan, N., Morgan, M.A., Herlihy, M., 1998, Ultraviolet absorbance (280nm) of compounds released from soil during chloroform fumigation as an estimate of the microbial biomass, Soil Biology and Biochemistry, 30(12), 1599-1603.","G",29.8333333333333,2843.63045508758,795.922120138149,218.631598458198,391.306827128403,60.1856690168698,443.490122207124,503.247737342194,0.146364755186129,40.2432072178324,11.2130455087585
"458","11045",1995,52.43,-8.46,"Nunan, N., Morgan, M.A., Herlihy, M., 1998, Ultraviolet absorbance (280nm) of compounds released from soil during chloroform fumigation as an estimate of the microbial biomass, Soil Biology and Biochemistry, 30(12), 1599-1603.","C",13.5833333333333,2837.79151614658,1028.86207802719,225.608646664224,520.388272265644,60.7361521510293,406.377991288524,679.98361693541,0.198524310959024,106.136763109171,10.6291516146585
"459","11042",1995,52.45,-6.72,"Nunan, N., Morgan, M.A., Herlihy, M., 1998, Ultraviolet absorbance (280nm) of compounds released from soil during chloroform fumigation as an estimate of the microbial biomass, Soil Biology and Biochemistry, 30(12), 1599-1603.","C",12.75,2840.28353478884,794.420272401142,223.703326873981,396.468591597207,59.8370660802519,421.742592940265,487.236692792539,0.194438689748222,83.7555620097526,10.8783534788843
"460","12117",1995,52.45,-6.72,"Nunan, N., Morgan, M.A., Herlihy, M., 1998, Ultraviolet absorbance (280nm) of compounds released from soil during chloroform fumigation as an estimate of the microbial biomass, Soil Biology and Biochemistry, 30(12), 1599-1603.","G",13.8333333333333,2840.3728840086,796.644898369706,226.467474867333,389.941938834631,60.2823344062275,419.323457492882,478.894537846876,0.194385309559946,82.642747576184,10.8872884008599
