scenario,slope,slope_se,slope_p,folder,run_number,outslope
fixed_no_var,-0.202038929,0.099682732,0.056221964,F:/patoine/derived/resampe500_patoine_all/resample44_pred_all_vars/resample44_all_1992.rds,44,-3.584916389
fixed_no_var,-0.130414143,0.058719113,0.03806273,F:/patoine/derived/resampe500_patoine_all/resample45_pred_all_vars/resample45_all_1992.rds,45,-2.810829128
fixed_no_var,-0.098642648,0.047651262,0.051605419,F:/patoine/derived/resampe500_patoine_all/resample46_pred_all_vars/resample46_all_1992.rds,46,-2.184129405
fixed_no_var,-0.139917765,0.060415413,0.031295613,F:/patoine/derived/resampe500_patoine_all/resample47_pred_all_vars/resample47_all_1992.rds,47,-2.892604019
fixed_no_var,-0.20274971,0.087910824,0.031926837,F:/patoine/derived/resampe500_patoine_all/resample48_pred_all_vars/resample48_all_1992.rds,48,-2.902062736
fixed_no_var,-0.145118583,0.067693764,0.044527513,F:/patoine/derived/resampe500_patoine_all/resample49_pred_all_vars/resample49_all_1992.rds,49,-2.717609404
fixed_no_var,-0.168446242,0.077660877,0.042311915,F:/patoine/derived/resampe500_patoine_all/resample5_pred_all_vars/resample5_all_1992.rds,5,-3.527648291
fixed_no_var,-0.031289741,0.017273659,0.085122918,F:/patoine/derived/resampe500_patoine_all/resample50_pred_all_vars/resample50_all_1992.rds,50,-2.018399249
fixed_no_var,-0.245278316,0.115306575,0.046038104,F:/patoine/derived/resampe500_patoine_all/resample51_pred_all_vars/resample51_all_1992.rds,51,-5.036610647
fixed_no_var,-0.217937419,0.088736672,0.02331849,F:/patoine/derived/resampe500_patoine_all/resample52_pred_all_vars/resample52_all_1992.rds,52,-2.475940152
fixed_no_var,-0.190777397,0.080044988,0.027182504,F:/patoine/derived/resampe500_patoine_all/resample53_pred_all_vars/resample53_all_1992.rds,53,-2.820190564
fixed_no_var,-0.181136675,0.077572351,0.030073549,F:/patoine/derived/resampe500_patoine_all/resample54_pred_all_vars/resample54_all_1992.rds,54,-3.525635857
fixed_no_var,-0.068753331,0.026794856,0.018434441,F:/patoine/derived/resampe500_patoine_all/resample55_pred_all_vars/resample55_all_1992.rds,55,-2.040429097
fixed_no_var,-0.223217193,0.108251161,0.052439002,F:/patoine/derived/resampe500_patoine_all/resample56_pred_all_vars/resample56_all_1992.rds,56,-3.389416427
fixed_no_var,-0.084793838,0.023480934,0.001742498,F:/patoine/derived/resampe500_patoine_all/resample57_pred_all_vars/resample57_all_1992.rds,57,-1.92615588
fixed_no_var,-0.100566001,0.056677209,0.091228077,F:/patoine/derived/resampe500_patoine_all/resample58_pred_all_vars/resample58_all_1992.rds,58,-3.046693493
fixed_no_var,-0.089447699,0.042889297,0.050041422,F:/patoine/derived/resampe500_patoine_all/resample59_pred_all_vars/resample59_all_1992.rds,59,-1.90373241
fixed_no_var,0.044104135,0.026081759,0.106363227,F:/patoine/derived/resampe500_patoine_all/resample6_pred_all_vars/resample6_all_1992.rds,6,-1.656956774
fixed_no_var,-0.05764972,0.023504078,0.023479736,F:/patoine/derived/resampe500_patoine_all/resample60_pred_all_vars/resample60_all_1992.rds,60,-2.75877317
fixed_no_var,-0.249745655,0.131703343,0.072464135,F:/patoine/derived/resampe500_patoine_all/resample61_pred_all_vars/resample61_all_1992.rds,61,-5.058285046
fixed_no_var,-0.110264905,0.059570997,0.078998093,F:/patoine/derived/resampe500_patoine_all/resample62_pred_all_vars/resample62_all_1992.rds,62,-2.257144205
fixed_no_var,-0.066891461,0.031486641,0.04629281,F:/patoine/derived/resampe500_patoine_all/resample63_pred_all_vars/resample63_all_1992.rds,63,-2.908881449
fixed_no_var,-0.061666744,0.022894425,0.013974477,F:/patoine/derived/resampe500_patoine_all/resample64_pred_all_vars/resample64_all_1992.rds,64,-1.851141542
fixed_no_var,-0.147086734,0.078712118,0.076387861,F:/patoine/derived/resampe500_patoine_all/resample65_pred_all_vars/resample65_all_1992.rds,65,-3.026561041
fixed_no_var,-0.082273476,0.036721512,0.036573028,F:/patoine/derived/resampe500_patoine_all/resample66_pred_all_vars/resample66_all_1992.rds,66,-3.660346296
fixed_no_var,-0.131896284,0.056982565,0.031377026,F:/patoine/derived/resampe500_patoine_all/resample67_pred_all_vars/resample67_all_1992.rds,67,-2.965088277
fixed_no_var,-0.172819255,0.070682398,0.02386836,F:/patoine/derived/resampe500_patoine_all/resample68_pred_all_vars/resample68_all_1992.rds,68,-4.150179433
fixed_no_var,-0.160067007,0.06167249,0.017296805,F:/patoine/derived/resampe500_patoine_all/resample69_pred_all_vars/resample69_all_1992.rds,69,-3.761359222
fixed_no_var,-0.198102825,0.108382289,0.082535631,F:/patoine/derived/resampe500_patoine_all/resample7_pred_all_vars/resample7_all_1992.rds,7,-4.099948301
fixed_no_var,-0.21174808,0.112919627,0.07544134,F:/patoine/derived/resampe500_patoine_all/resample70_pred_all_vars/resample70_all_1992.rds,70,-3.848011103
fixed_no_var,-0.060847667,0.028405966,0.044678409,F:/patoine/derived/resampe500_patoine_all/resample71_pred_all_vars/resample71_all_1992.rds,71,-1.826188987
fixed_no_var,-0.209720602,0.07820287,0.014338762,F:/patoine/derived/resampe500_patoine_all/resample72_pred_all_vars/resample72_all_1992.rds,72,-4.171714729
fixed_no_var,-0.114033492,0.052764237,0.042986222,F:/patoine/derived/resampe500_patoine_all/resample73_pred_all_vars/resample73_all_1992.rds,73,-3.307628554
fixed_no_var,-0.078573382,0.031536934,0.021623519,F:/patoine/derived/resampe500_patoine_all/resample74_pred_all_vars/resample74_all_1992.rds,74,-2.666262248
fixed_no_var,-0.103960925,0.047213781,0.03957351,F:/patoine/derived/resampe500_patoine_all/resample75_pred_all_vars/resample75_all_1992.rds,75,-3.920233703
fixed_no_var,-0.157517511,0.064614212,0.02423491,F:/patoine/derived/resampe500_patoine_all/resample76_pred_all_vars/resample76_all_1992.rds,76,-4.595542939
fixed_no_var,-0.150716806,0.08983518,0.108964589,F:/patoine/derived/resampe500_patoine_all/resample77_pred_all_vars/resample77_all_1992.rds,77,-3.76060132
fixed_no_var,-0.126019241,0.043066098,0.008350824,F:/patoine/derived/resampe500_patoine_all/resample78_pred_all_vars/resample78_all_1992.rds,78,-1.938318911
fixed_no_var,-0.194552806,0.08504522,0.03318598,F:/patoine/derived/resampe500_patoine_all/resample79_pred_all_vars/resample79_all_1992.rds,79,-2.949851205
fixed_no_var,-0.169330145,0.086143181,0.063374019,F:/patoine/derived/resampe500_patoine_all/resample8_pred_all_vars/resample8_all_1992.rds,8,-5.192401642
fixed_no_var,-0.185803297,0.075471848,0.023028836,F:/patoine/derived/resampe500_patoine_all/resample80_pred_all_vars/resample80_all_1992.rds,80,-3.58710777
fixed_no_var,-0.213053577,0.10160089,0.048913472,F:/patoine/derived/resampe500_patoine_all/resample81_pred_all_vars/resample81_all_1992.rds,81,-2.842671792
fixed_no_var,-0.010514266,0.010641018,0.334913483,F:/patoine/derived/resampe500_patoine_all/resample82_pred_all_vars/resample82_all_1992.rds,82,-1.401790969
fixed_no_var,-0.194244226,0.100009512,0.066322012,F:/patoine/derived/resampe500_patoine_all/resample83_pred_all_vars/resample83_all_1992.rds,83,-2.876995995
fixed_no_var,-0.207071223,0.100198329,0.051963817,F:/patoine/derived/resampe500_patoine_all/resample84_pred_all_vars/resample84_all_1992.rds,84,-3.277296386
fixed_no_var,-0.029873223,0.028420842,0.305746605,F:/patoine/derived/resampe500_patoine_all/resample85_pred_all_vars/resample85_all_1992.rds,85,-1.809023927
fixed_no_var,-0.150613258,0.057206891,0.015952366,F:/patoine/derived/resampe500_patoine_all/resample86_pred_all_vars/resample86_all_1992.rds,86,-3.623883247
fixed_no_var,-0.031589487,0.017753778,0.090391616,F:/patoine/derived/resampe500_patoine_all/resample87_pred_all_vars/resample87_all_1992.rds,87,-2.328387668
fixed_no_var,-0.118387024,0.056905524,0.050556302,F:/patoine/derived/resampe500_patoine_all/resample88_pred_all_vars/resample88_all_1992.rds,88,-3.226787736
fixed_no_var,-0.185359334,0.06032281,0.006003793,F:/patoine/derived/resampe500_patoine_all/resample89_pred_all_vars/resample89_all_1992.rds,89,-4.302761512
fixed_no_var,-0.168999633,0.080923364,0.049758402,F:/patoine/derived/resampe500_patoine_all/resample9_pred_all_vars/resample9_all_1992.rds,9,-2.738312773
fixed_no_var,-0.163638383,0.080560454,0.055732953,F:/patoine/derived/resampe500_patoine_all/resample90_pred_all_vars/resample90_all_1992.rds,90,-2.35433097
