scenario,slope,slope_se,slope_p,folder,run_number,outslope
fixed_no_var,-0.088268879,0.040634593,0.042033074,F:/patoine/derived/resampe500_combine_fjoin/resample43_pred_all_vars/resample43_all_1992.rds,43,-5.841325878
fixed_no_var,-0.058854551,0.021833596,0.013911384,F:/patoine/derived/resampe500_combine_fjoin/resample44_pred_all_vars/resample44_all_1992.rds,44,-4.137521591
fixed_no_var,-0.135178212,0.0474706,0.009949483,F:/patoine/derived/resampe500_combine_fjoin/resample45_pred_all_vars/resample45_all_1992.rds,45,-6.186339104
fixed_no_var,-0.096588998,0.029668743,0.003959734,F:/patoine/derived/resampe500_combine_fjoin/resample46_pred_all_vars/resample46_all_1992.rds,46,-3.387643773
fixed_no_var,-0.10311173,0.030828172,0.003227122,F:/patoine/derived/resampe500_combine_fjoin/resample47_pred_all_vars/resample47_all_1992.rds,47,-3.343180085
fixed_no_var,-0.185888745,0.052077848,0.00191984,F:/patoine/derived/resampe500_combine_fjoin/resample48_pred_all_vars/resample48_all_1992.rds,48,-5.233393775
fixed_no_var,-0.161571974,0.060056925,0.014072986,F:/patoine/derived/resampe500_combine_fjoin/resample49_pred_all_vars/resample49_all_1992.rds,49,-5.592327566
fixed_no_var,-0.168218809,0.157089171,0.296990529,F:/patoine/derived/resampe500_combine_fjoin/resample5_pred_all_vars/resample5_all_1992.rds,5,-5.611257642
fixed_no_var,-0.122111864,0.050824527,0.026104642,F:/patoine/derived/resampe500_combine_fjoin/resample50_pred_all_vars/resample50_all_1992.rds,50,-4.585137814
fixed_no_var,-0.172159463,0.07430678,0.031234154,F:/patoine/derived/resampe500_combine_fjoin/resample51_pred_all_vars/resample51_all_1992.rds,51,-4.640021367
fixed_no_var,-0.104751474,0.024844086,0.000424185,F:/patoine/derived/resampe500_combine_fjoin/resample52_pred_all_vars/resample52_all_1992.rds,52,-3.666179451
fixed_no_var,-0.126250531,0.034553852,0.001578358,F:/patoine/derived/resampe500_combine_fjoin/resample53_pred_all_vars/resample53_all_1992.rds,53,-3.90066871
fixed_no_var,-0.157921311,0.044765056,0.002114574,F:/patoine/derived/resampe500_combine_fjoin/resample54_pred_all_vars/resample54_all_1992.rds,54,-6.741837774
fixed_no_var,-0.110473367,0.035493678,0.005487299,F:/patoine/derived/resampe500_combine_fjoin/resample55_pred_all_vars/resample55_all_1992.rds,55,-6.238744172
fixed_no_var,-0.181151773,0.059471573,0.006378384,F:/patoine/derived/resampe500_combine_fjoin/resample56_pred_all_vars/resample56_all_1992.rds,56,-3.552745636
fixed_no_var,-0.1159304,0.041867863,0.011841453,F:/patoine/derived/resampe500_combine_fjoin/resample57_pred_all_vars/resample57_all_1992.rds,57,-3.899244482
fixed_no_var,-0.085493935,0.023099196,0.001413379,F:/patoine/derived/resampe500_combine_fjoin/resample58_pred_all_vars/resample58_all_1992.rds,58,-2.339957833
fixed_no_var,-0.100332018,0.050622494,0.061394071,F:/patoine/derived/resampe500_combine_fjoin/resample59_pred_all_vars/resample59_all_1992.rds,59,-4.27446767
fixed_no_var,-0.179415672,0.063493792,0.010444986,F:/patoine/derived/resampe500_combine_fjoin/resample6_pred_all_vars/resample6_all_1992.rds,6,-2.894309449
fixed_no_var,-0.061032681,0.030995986,0.062959802,F:/patoine/derived/resampe500_combine_fjoin/resample60_pred_all_vars/resample60_all_1992.rds,60,-4.167156259
fixed_no_var,-0.096749733,0.027079475,0.001904897,F:/patoine/derived/resampe500_combine_fjoin/resample61_pred_all_vars/resample61_all_1992.rds,61,-1.995282866
fixed_no_var,-0.15031073,0.029113595,4.73E-05,F:/patoine/derived/resampe500_combine_fjoin/resample62_pred_all_vars/resample62_all_1992.rds,62,-4.758091523
fixed_no_var,-0.179291352,0.066103792,0.013412713,F:/patoine/derived/resampe500_combine_fjoin/resample63_pred_all_vars/resample63_all_1992.rds,63,-3.587214521
fixed_no_var,-0.135233505,0.03659362,0.001431985,F:/patoine/derived/resampe500_combine_fjoin/resample64_pred_all_vars/resample64_all_1992.rds,64,-3.010049691
fixed_no_var,-0.045646096,0.032465128,0.175069535,F:/patoine/derived/resampe500_combine_fjoin/resample65_pred_all_vars/resample65_all_1992.rds,65,-4.394111092
fixed_no_var,-0.063340151,0.054708954,0.260599509,F:/patoine/derived/resampe500_combine_fjoin/resample66_pred_all_vars/resample66_all_1992.rds,66,-5.341890767
fixed_no_var,-0.14260066,0.071556489,0.060102528,F:/patoine/derived/resampe500_combine_fjoin/resample67_pred_all_vars/resample67_all_1992.rds,67,-5.466011333
fixed_no_var,-0.221303483,0.074399566,0.007493053,F:/patoine/derived/resampe500_combine_fjoin/resample68_pred_all_vars/resample68_all_1992.rds,68,-6.121379861
fixed_no_var,0.037286594,0.057742112,0.52578574,F:/patoine/derived/resampe500_combine_fjoin/resample69_pred_all_vars/resample69_all_1992.rds,69,-4.428039745
fixed_no_var,-0.078714692,0.015818458,7.26E-05,F:/patoine/derived/resampe500_combine_fjoin/resample7_pred_all_vars/resample7_all_1992.rds,7,-3.93366733
fixed_no_var,-0.106093618,0.037764321,0.010830428,F:/patoine/derived/resampe500_combine_fjoin/resample70_pred_all_vars/resample70_all_1992.rds,70,-5.279008563
