"scenario","slope","slope_se","slope_p","run_number","outslope"
"fixed_no_var",-0.0242654788583655,0.0123514892444666,0.0635102114637306,1,-2.645534149
"fixed_no_var",-0.0312954889839038,0.018173799340565,0.10049843669517,10,-3.432661989
"fixed_no_var",-0.0474697262701454,0.0172569064170784,0.012325526462804,100,-3.06078103183569
"fixed_no_var",-0.0597772606227586,0.021598071717735,0.0118740271309817,11,-3.51233391
"fixed_no_var",-0.0354590230581023,0.0183499385460401,0.0676013114170424,12,-2.165794712
"fixed_no_var",-0.0641128163698274,0.0239963081194705,0.0146542771276321,13,-2.930135688
"fixed_no_var",-0.0417664236173781,0.0157683570168728,0.0154082169549341,14,-2.574326637
"fixed_no_var",-0.0354141617959257,0.0170386067573791,0.0507528528650376,15,-2.978964315
"fixed_no_var",-0.0373263149308238,0.021408731653672,0.0965980852034225,16,-2.674656985
"fixed_no_var",-0.0617293579740628,0.0288634483798024,0.0449860678413122,17,-3.145104185
"fixed_no_var",-0.0618460378115633,0.035831973295405,0.0997644563153299,18,-2.79969638
"fixed_no_var",-0.0600734997852354,0.0216209078360931,0.0115951079090165,19,-3.055741194
"fixed_no_var",-0.0196720101749512,0.0141202307077452,0.178858145188294,2,-1.665881034
"fixed_no_var",-0.0119061789464414,0.0136263798471255,0.392620223415461,20,-2.670672785
"fixed_no_var",-0.0358837172285579,0.0197796236106172,0.0846822873208083,21,-2.869312679
"fixed_no_var",-0.00270095569196859,0.0144171374959672,0.853278916177848,22,-2.984433086
"fixed_no_var",-0.0473788961434917,0.0217499070388664,0.0415169838145167,23,-3.017709306
"fixed_no_var",-0.0437649076813951,0.0225474341820213,0.0664817225833104,24,-2.285758966
"fixed_no_var",-0.0618767480858794,0.0175884376246641,0.00216286681783163,25,-2.652113282
"fixed_no_var",-0.0240467056418697,0.0139161411969165,0.0994036278523007,26,-2.955000231
"fixed_no_var",-0.0271995651087451,0.0147594953710346,0.0802242592481659,27,-2.530832862
"fixed_no_var",-0.0209807361400912,0.00938629928458466,0.036966705708908,28,-1.713555423
"fixed_no_var",-0.0219612148574925,0.01192621964732,0.0804414620410684,29,-3.696855404
"fixed_no_var",-0.0411091500465443,0.0248650870800895,0.113884146403838,3,-2.863438664
"fixed_no_var",-0.0273719729275461,0.0234645468357101,0.257124305454035,30,-2.938144863
"fixed_no_var",-0.0557619968774607,0.0316621468281052,0.0934942926159342,31,-2.56900146
"fixed_no_var",-0.018611108358891,0.0138304343639954,0.193469287903197,32,-2.53185068
"fixed_no_var",-0.0261503458371309,0.010194726498054,0.0184674126246171,33,-2.737482427
"fixed_no_var",-0.0282870420775685,0.016778071205168,0.107343753281267,34,-2.356752156
"fixed_no_var",-0.043890357568778,0.0211114312095798,0.0507003518044672,35,-3.522582018
"fixed_no_var",-0.0252909893144607,0.0138778315560463,0.0833818705100605,36,-2.481235675
"fixed_no_var",-0.0643249881934981,0.026799132497654,0.026234299402295,37,-2.558454089
"fixed_no_var",-0.0164554650716788,0.0134438132187031,0.235169763258329,38,-3.380740837
"fixed_no_var",-0.0549567399493289,0.0164241649257351,0.00321699667812545,39,-2.364566196
"fixed_no_var",-0.0080877210907209,0.0126123900927968,0.528639706399839,4,-2.936487187
"fixed_no_var",-0.0185692147342548,0.0172727921010641,0.29514875723398,40,-3.51717253
"fixed_no_var",-0.0542515045070931,0.0205709010751718,0.0157967955451394,41,-3.696301115
"fixed_no_var",-0.0802473212295396,0.0342340913915807,0.0295137248935457,42,-3.455821823
"fixed_no_var",-0.0213650157306622,0.0157212557842801,0.189279287155593,43,-2.361338449
"fixed_no_var",-0.0370962856514282,0.0268609674666553,0.182501952392384,44,-2.699888364
"fixed_no_var",-0.0103961243380932,0.0113782168472306,0.37176552216828,45,-2.613257519
"fixed_no_var",-0.0611591104152567,0.0280582072654281,0.0414014023323365,46,-2.774496473
"fixed_no_var",-0.0295678343725745,0.0210952737828862,0.17635341439645,47,-3.186015968
"fixed_no_var",-0.0604785810681102,0.0223427635839104,0.0135728262743484,48,-2.886097062
"fixed_no_var",-0.0370378311112284,0.0222075808123396,0.110937620566345,49,-2.492543062
"fixed_no_var",0.0083623982541931,0.0205427944142642,0.688278786954155,5,-2.271526522
"fixed_no_var",-0.026252229808715,0.0213120236362646,0.232309572720157,50,-2.082381681
"fixed_no_var",-0.0518722770680343,0.0215431917927098,0.0258196690049941,51,-2.30688817513744
"fixed_no_var",-0.0180300278603313,0.0131808182257519,0.18651815839359,52,-2.89775655798589
"fixed_no_var",-0.047767540097712,0.0259577969586254,0.0806277457976285,53,-3.38772658857924
"fixed_no_var",-0.0474145838175304,0.0129646189022038,0.00156557116353973,54,-2.72167808298371
"fixed_no_var",-0.0388311372369267,0.016237834064522,0.0267281790203094,55,-3.16067227137484
"fixed_no_var",-0.0219674204243269,0.0329425944853918,0.512495141591495,56,-1.38220135919113
"fixed_no_var",-0.00583108028873538,0.0174941570774072,0.742364887145511,57,-2.99174852545665
"fixed_no_var",-0.0440778566414601,0.0140179222543399,0.00510351960961593,58,-3.59638751951174
"fixed_no_var",-0.0138485445375146,0.0109141142681222,0.219058377067069,59,-2.80830314670008
"fixed_no_var",-0.0531911613464462,0.0259528036560959,0.0537545592565891,6,-3.533273578
"fixed_no_var",-0.0466679469380072,0.0249937038973041,0.0766032093556949,60,-3.7113801042321
"fixed_no_var",-0.0565761025631584,0.0227281127598498,0.0217259103112095,61,-3.34371726586349
"fixed_no_var",-0.0743142954698307,0.0261899624104194,0.0101753479899069,62,-2.91205388320108
"fixed_no_var",-0.0541540444059865,0.0205034149434598,0.0156625525843265,63,-3.50648916502817
"fixed_no_var",-0.0333604449484233,0.00957256749801044,0.0023347674127037,64,-2.67552562607903
"fixed_no_var",-0.0660162019690317,0.0272347951476051,0.0249552088247885,65,-2.99205537456297
"fixed_no_var",-0.0298347482573827,0.0201032831745999,0.153379366653901,66,-2.69700303678734
